id,created_at,countyfips,text
1455489422812749824,"2021-11-02 10:58:14",20147,"EXACTLY, REMEMBER THIE V2K SYSTEM WAS DO-ABLE IN 1974 AND STILL IS ACTIVE &amp;DO-ABLE TOWARDS ANYONE WHO HACKS ME/THE… https://t.co/EcCkwjg"
1455489482312978438,"2021-11-02 10:58:28",18129,"@60plus9_ ??"
1455489597266345991,"2021-11-02 10:58:56",20147,"#V2K ?➡️???❤️ 
☠️?With A Little Help From Above Can You Feel The Power Of Love ?Lol https://t.co/X7iMTTWY4m"
1455489613682790405,"2021-11-02 10:59:00",24011,"Come on in! Our School-Based Health Center's are ready to help your children see how healthy they can be. From flu… https://t.co/OHJHR81FmR"
1455489686349115401,"2021-11-02 10:59:17",17145,"Aturan wajib pcr pas perjalanan tuh kenapa ga efisien bgt menurutku apalagi harga yg udah diturunin aja tetep bikin… https://t.co/ycm9Xw4IN6"
1455489692997079040,"2021-11-02 10:59:19",17145,"Sulit jg beb kalo urusan sama orang rakus ga kenal bersyukur :)"
1455489709174665224,"2021-11-02 10:59:23",18079,"@KellyErnstes Thank you!"
1455489764501725192,"2021-11-02 10:59:36",01015,"@DanielScoland @1984cov That is hellish  reality.
Shed a light on demoralized heart condition…"
1455489777059442688,"2021-11-02 10:59:39",18079,"@Delaynee19 Thank you so much!!"
1455489788845428739,"2021-11-02 10:59:42",18027,"@BballCoachMac Be really good at the things you are really good at and show obvious hustle!"
1455489793324773384,"2021-11-02 10:59:43",24001,"@ShortFiImMaker @Introvertboy__ Aunty Husband Kitta Ipo than Pesinen Gautam Nu Oru Name la Irrunthu Daily Night Cal… https://t.co/pdliz4kp1X"
1455489806344069124,"2021-11-02 10:59:46",18079,"@JCPantherHoops Thank you!"
1455489829290995714,"2021-11-02 10:59:51",17145,"@luqmanafd anu kae lho"
1455489854758785028,"2021-11-02 10:59:57",13155,"I love that  woman @BadaszZamoria and she mean a lot to me frfr?❤️?❤️"
1455489862216269827,"2021-11-02 10:59:59",24001,"@_ZoyzNyra Ah ha"
1455489867022880772,"2021-11-02 11:00:00",19101,"Have you taken the time to read and share this report yet? The 2021 GMO Regulatory and Legislative Outlook Report o… https://t.co/nE2lcQz635"
1455489883552768007,"2021-11-02 11:00:04",12017,"Good luck to our girls' golf team today in the @FHSAA regional golf tournament. Tee off times start at 9:00 AM at D… https://t.co/tmQrzrttHe"
1455489893942038531,"2021-11-02 11:00:07",12017,"Boys soccer preseason game tonight at Panther Stadium vs. Hernando at 6:30. Tickets are at https://t.co/LCE8vV2MNt… https://t.co/21HC4tr1p1"
1455489903459029001,"2021-11-02 11:00:09",12017,"Good luck to our girls' soccer team tonight at 5:30 PM, as they play Eustis at The Villages Charter High School pre… https://t.co/irGBTz7ANJ"
1455489972807553025,"2021-11-02 11:00:25",17141,"Park of the Day for Tue Nov 02, 2021 is Palo Alto Battlefield National Historical Park @PaloAltoNPS #findyourpark… https://t.co/NolMYeRAkH"
1455489974149787653,"2021-11-02 11:00:26",17141,"changed the map of North America. Palo Alto Battlefield National Historical Park preserves the site of this notable… https://t.co/k9rvqfCVKC"
1455489975542329348,"2021-11-02 11:00:26",17141,"Learn more about Palo Alto Battlefield National Historical Park at https://t.co/4lPIXypwtN 3/3"
1455489976775241731,"2021-11-02 11:00:26",13141,"Holding on to a grudge won't serve you well, particularly righ... More for Aquarius https://t.co/ByHj7nE4lY"
1455490004369780736,"2021-11-02 11:00:33",24043,"Happy Election Day!  Thanks to all my amazing clients out there shaping the future of our neighborhoods and communi… https://t.co/x2rYk9XbH7"
1455490033994010627,"2021-11-02 11:00:40",18013,"Someone could be trying to hold their superior financial posit... More for Sagittarius https://t.co/v50u2k4mnq"
1455490059377860611,"2021-11-02 11:00:46",01027,"An imposing official may not want to reach a compromise. For n... More for Aries https://t.co/ARhvvQCrMb"
1455490099802607628,"2021-11-02 11:00:56",20181,"Special Weather Statement for Hitchcock, Red Willow [NE] till 9:00 AM MDT https://t.co/AUty6OGg2x https://t.co/b1wTM32cNh"
1455490112024764420,"2021-11-02 11:00:59",05143,"Middle-aged man style ?‍♂️ https://t.co/y9u90ISDkf"
1455490138688028672,"2021-11-02 11:01:05",01035,"You might feel tired of being taken for granted by someone you... More for Cancer https://t.co/N4ugfXpe4w"
1455490151954587654,"2021-11-02 11:01:08",01041,"There's nothing wrong with listening to other opinions, even w... More for Capricorn https://t.co/l2MvklAYFM"
1455490209324232705,"2021-11-02 11:01:22",21081,"If anything gets under your skin, Scorpio, it's being given an... More for Scorpio https://t.co/677OMbb5ti"
1455490230954250240,"2021-11-02 11:01:27",20151,"An imposing official may not want to reach a compromise. For n... More for Aries https://t.co/n7KzNvpIDV"
1455490262239629326,"2021-11-02 11:01:34",17099,"This may be a good day to look for fresh career opportunities ... More for Leo https://t.co/Mry5Ieq9ZA"
1455490297169780737,"2021-11-02 11:01:43",18061,"If anything gets under your skin, Scorpio, it's being given an... More for Scorpio https://t.co/gASwdi5A7D"
1455490298184753160,"2021-11-02 11:01:43",21087,"If anything gets under your skin, Scorpio, it's being given an... More for Scorpio https://t.co/b4Pl9RYcnE"
1455490303528296451,"2021-11-02 11:01:44",01003,"This may be a good day to look for fresh career opportunities ... More for Leo https://t.co/JJNoLRIPBZ"
1455490332292882435,"2021-11-02 11:01:51",17147,"Just posted a photo @ Monticello, Illinois https://t.co/vsfTIVl3kw"
1455490381957799939,"2021-11-02 11:02:03",18139,"Need a FREE Thanksgiving meal with all the sides? Reach out for more info or to schedule a delivery. What a beautif… https://t.co/2JGD9kK1lM"
1455490387674484736,"2021-11-02 11:02:04",19165,"Although your gift with words is probably very strong, it may ... More for Libra https://t.co/ac7xzw7ZH0"
1455490388630855691,"2021-11-02 11:02:05",21041,"https://t.co/SNZeFUjRhU

Driven by an unprecedented vaccination drive against the COVID-19 pandemic globally, Pfize… https://t.co/v4nApQEHKz"
1455490388999954435,"2021-11-02 11:02:05",20177,"????‍♂️✊???? @ Washburn University https://t.co/M6zoYQeBOz"
1455490395278741507,"2021-11-02 11:02:06",18043,"The resources you need might not be available at the moment. R... More for Gemini https://t.co/76C8E7aBYA"
1455490400316125186,"2021-11-02 11:02:07",19183,"If anything gets under your skin, Scorpio, it's being given an... More for Scorpio https://t.co/ATA6LaDj89"
1455490444620484616,"2021-11-02 11:02:18",21155,"The resources you need might not be available at the moment. R... More for Gemini https://t.co/MbzYNTSmZV"
1455490448886222850,"2021-11-02 11:02:19",05053,"@AAchavatte Aie aie dur dur de perdre une si belle course aux abords du poteau alors que le cheval semblait aller l… https://t.co/lKGAs742X7"
1455490470734270482,"2021-11-02 11:02:24",13105,"There's nothing wrong with listening to other opinions, even w... More for Capricorn https://t.co/Gr8bteQWEb"
1455490480347570177,"2021-11-02 11:02:26",22021,"This may be a good day to look for fresh career opportunities ... More for Leo https://t.co/pU8g0xmQfS"
1455490499528335361,"2021-11-02 11:02:31",18061,"@thickcarmel32 Oh god damn that ass ?"
1455490517282684929,"2021-11-02 11:02:35",01123,"If anything gets under your skin, Scorpio, it's being given an... More for Scorpio https://t.co/JDUchdbmFB"
1455490543966883844,"2021-11-02 11:02:42",13205,"You might feel tired of being taken for granted by someone you... More for Cancer https://t.co/Z15deKQ17X"
1455490549969047556,"2021-11-02 11:02:43",01011,"You might be ready to make a change, but people in your social... More for Pisces https://t.co/POrSXfN3jA"
1455490579236851720,"2021-11-02 11:02:50",13233,"@whoreible_jpg cuándo te votamos pa presidenta?"
1455490656332394501,"2021-11-02 11:03:08",21059,"New event. Freeze Watch from 11/4/2021 1:00 AM to 9:00 AM CDT for Daviess County, KY. https://t.co/ANcelE8Rvg"
1455490692659269645,"2021-11-02 11:03:17",13091,"Partly Cloudy today! With a high of 74F and a low of 48F. #EastmanGA"
1455490716738654211,"2021-11-02 11:03:23",18087,"Senators @ Blackhawks 11/01/21 | NHL Highlights https://t.co/g0KtCCg2d3 via @YouTube"
1455490735352860677,"2021-11-02 11:03:27",05143,"ใส่สูทแค่ถ่ายแบบจิง ในละครคือนานมาแล้ว ไม่เห็นมานานมาก"
1455490766931996681,"2021-11-02 11:03:35",05057,"@FandubNoContext Bueno, supongo. Algunas les gusta hablar sobre lolis (o fetiches) más que a otras, pero hay una gr… https://t.co/JkLIpRWQQM"
1455490768274173952,"2021-11-02 11:03:35",18061,"@WildKitty778 Heyy there may I dm"
1455490810665963522,"2021-11-02 11:03:45",19125,"Pray for Virginia. https://t.co/su693bzWsP"
1455490951108079618,"2021-11-02 11:04:19",18153,"Girls BB tickets at OV next week will be online. Here is the link:  https://t.co/jA9NVXU6Zb"
1455491115180859399,"2021-11-02 11:04:58",22007,"Praying For A Great Day, GoodMorning."
1455491199624564741,"2021-11-02 11:05:18",18129,"@Pathakwords @shaandelhite @Gauravsavad @thefu_k @60plus9_ Sach sach bata"
1455491372148998156,"2021-11-02 11:05:59",21013,"Check out this product ? Case 128 Stockman'S Knife Amber Bone ? 
by CoxWebSales starting at $56.99. 
Show now ??… https://t.co/vo55yydQKz"
1455491384387977217,"2021-11-02 11:06:02",20067,"""Here we see how students use different math tools and thinking to expand representing a value across math strands… https://t.co/I45hhny05C"
1455491776668635148,"2021-11-02 11:07:35",21237,"@KyPrephoops Ready to explode this season ! Puts the work in and is a GREAT kid !"
1455491784923041792,"2021-11-02 11:07:37",23023,"@cvpayne Not once"
1455491808495030276,"2021-11-02 11:07:43",18031,"@KristySwansonXO I know its usually useless to prefer facts to die hard anti vaxxers but according to 3 separate st… https://t.co/StAPY8bjb4"
1455491861901086725,"2021-11-02 11:07:56",13237,"@SolDadDev  Ok, made some good flips and finally able to join @mmccsolana club after missing the mint. So lets see… https://t.co/IlclWE0gsp"
